transaction_id,month,year,customers,units_sold,revenue,expenses,discount_rate
1,Nov,2021,479,1084,69480.83,29413.23,0.055
2,1,2022,403,369,31252.66,19768.06,0.248
3,4,2023,363,422,13555.55,6682.8,0.184
4,1,2022,485,806,32582.26,20773.5,0.049
5,8,2021,311,532,41739.95,18526.14,1.25
6,12,2023,250,496,10702.03,6801.63,0.06
7,10,2021,347,752,39022.59,15896.16,0.173
8,4,2021,384,333,29309.88,13823.32,0.232
9,7,2023,445,842,27140.85,21867.51,0.271
10,1,2021,184,492,42755.64,26979.36,0.323
11,9,2021,406,640,24892.08,18407.86,0.125
12,4,2023,383,521,31149.34,12965.43,0.281
13,Nov,2025,338,274,22136.61,15102.1,0.255
14,2,2024,493,1154,27351.46,14181.15,0.041
15,1,2023,459,670,"15338,98",7610.61,0.114
16,5,2022,537,1.2k,81382.51,62419.57,0.165
17,1,FY2021,463,1074,65748.5,46836.24,0.173
18,12,2022,342,631,32130.94,11629.7,1.25
19,5,2022,430,614,35096.21,27254.18,0.087
20,8,2025,-384,622,47382.37,21679.1,0.027
21,8,2025,322,856,68672.83,44479.38,0.305
22,5,2023,359,864,27964.13,21518.47,18.9%
23,6,2023,335,420,21372.67,15697.52,30.1%
24,July,2025,380,309,17714.21,9675.2,0.078
25,11,21,378,1015,43529.93,25849.45,0.246
26,Feb,2025,323,493,45763.82,36718.61,0.088
27,6,2021,189,258,5376.8,3422.31,0.176
28,2,2023,416,375,14795.92,11494.73,0.084
29,November,2024,415,1150,42133.99,28057.18,0.267
30,12,2022,279,355,26295.79,13748.97,0.221
31,5,2024,490,480,39512.78,19786.68,0.065
32,8,2023,682,601,"38162,75",25510.09,0.006
33,8,2021,233,487,15304.57,10326.62,0.135
34,9,2025,428,1144,32705.94,16689.88,0.04
35,11,2024,517,1258,76424.08,45773.12,8.5%
36,9,2024,272,268,23338.94,18045.59,0.222
37,8,2021,271,610,53117.27,40737.26,1.25
38,12,2023,261,543,13291.98,5661.92,0.314
39,11,2022,455,368,11180.66,6796.78,0.242
40,7,2023,334,702,24758.65,16952.85,0.083
41,4,2025,559,1173,97816.71,64468.85,0.199
42,7,2023,321,316,"$14,635.26",6946.55,0.085
43,5,2022,410,1059,70526.94,51030.57,0.176
44,6,2025,460,898,50219.63,22185.23,0.253
45,2,2024,291,780,71332.95,55638.72,0.13
46,2,2021,477,396,35434.29,19533.03,0.338
47,6,2025,318,795,33710.38,14484.06,0.195
48,Mar,2025,238,636,45533.97,28136.75,0.034
49,6,2025,426,1088,81642.63,55320.83,0.246
50,10,2025,282,428,17379.61,12694.06,0.284
51,3,2024,481,1152,78390.4,53299.55,0.279
52,11,2024,882,2275,"$100,158.30",52735.75,0.033
53,Jun,2023,361,624,37304.99,18080.77,0.207
54,10,2021,429,369,7703.17,(5674.33),0.126
55,May,2023,427,999,34583.6,22228.9,0.03
56,Feb,2024,290,261,15376.63,9289.0,0.223
57,9,2022,176,420,16318.72,9078.37,0.027
58,11,2023,442,376,34638.6,25733.39,0.244
59,10,2022,275,306,11404.22,6935.32,0.25
60,11,2023,379,803,31762.59,25371.53,0.258
61,11,2025,674,1104,40931.12,21173.96,0.265
62,3,2022,543,450,12121.92,4504.76,0.014
63,5,2024,473,826,21090.45,12254.81,0.166
64,6,2021,512,586,30124.25,16185.68,0.216
65,3,2025,367,568,37596.61,220494.4,0.3
66,11,2021,435,921,28132.82,10779.58,0.225
67,6,2022,428,1147,71471.3,38054.17,0.225
68,1,2023,373,640,38408.0,30437.9,0.135
69,8,2025,453,426,18131.04,13545.54,0.008
70,4,2023,345,837,33231.26,13476.52,0.244
71,10,2023,527,1196,95522.17,46094.82,0.062
72,4,2021,456,1049,84052.46,68547.93,0.144
73,9,2023,573,848,76038.73,57291.68,0.15
74,11,2023,349,803,61108.14,24349.65,0.316
75,9,2023,576,829,72085.93,38416.38,0.004
76,2,2023,422,1101,27557.01,13780.64,0.333
77,Oct,2023,431,889,46699.44,22780.41,0.115
78,8,2025,491,1053,79957.28,57732.53,0.276
79,10,2023,418,382,23039.84,12845.16,0.311
80,10,2025,312,468,12642.63,5274.58,0.267
81,12,2022,321,310,22312.13,8572.29,0.288
82,12,2022,449,993,24094.01,9393.62,0.345
83,9,2023,246,596,-54199.13,44086.68,0.264
84,4,2023,251,389,9503.1,6797.18,0.195
85,10,2025,522,533,29811.83,10593.22,0.164
86,7,2024,400,365,"9909,38",4015.65,0.227
87,9,2023,482,1313,61533.79,29799.87,0.304
88,6,2021,603,752,69310.44,24654.6,0.339
89,January,2024,446,422,25592.94,20616.96,0.183
90,8,2024,421,86600,"$61,981.91",34935.13,0.22
91,6,2022,524,466,"$18,469.52",14714.54,0.312
92,4,2021,442,756,49707.16,23877.79,0.066
93,6,2024,165,324,7771.32,6278.96,0.345
94,2,2025,356,781,46297.23,22939.26,0.285
95,10,2022,312,818,66532.33,52986.74,0.254
96,10,2025,479,970,48698.57,38393.09,0.303
97,Jan,2025,561,1556,"$46,029.75",28963.83,0.133
98,Aug,21,363,994,82346.1,61266.69,0.164
99,6,2023,228,208,17593.39,12879.48,0.35
100,2,2025,348,972,"59066,73",42021.49,0.331
101,10,2022,365,620,17326.07,13833.2,0.212
102,8,2024,494,621,43296.71,27732.42,0.125
103,2,2022,459,844,65383.43,38868.94,0.298
104,3,2021,330,628,38428.72,29283.73,0.141
105,5,2023,497,1097,37734.87,15625.81,0.005
106,12,2022,584,876,55559.13,29688.28,0.153
107,6,2025,387,707,55387.29,29708.36,0.218
108,8,2025,506,1277,116351.41,48765.73,0.324
109,6,2021,215,369,34487.67,20055.63,0.115
110,2,2025,413,853,31127.0,12004.31,0.045
111,2,2022,463,538,24003.61,18518.56,16.6
112,3,2022,307,655,20480.95,9019.32,0.014
113,9,2023,356,410,10180.34,4140.33,0.161
114,10,2024,324,392,18051.12,10588.9,0.242
115,3,2022,336,855,76015.63,28787.62,9.7
116,12,2021,445,1073,81135.96,35434.09,0.073
117,February,2022,386,786,36475.39,20695.82,0.262
118,November,2021,143,124,4642.27,3181.23,0.313
119,3,2024.0,789,800,41960.6,25190.21,0.085
120,7,2023,554,741,34864.7,12531.54,0.113
121,11,2025,342,355,30732.56,"19,330.43",0.238
122,7,2025,290,689,38845.85,15183.0,0.188
123,4,2021,602,1001,27851.51,13462.71,0.127
124,2,2021,484,1012,62693.33,324353.6,0.345
125,6,2024,252,252,7502.08,3492.97,0.056
126,05,2023,487,571,22812.78,(9843.39),0.314
127,December,2021,425,688,64426.49,25941.86,0.139
128,2,2025,320,876,74148.19,54426.54,0.09
129,8,2023,480,1276,77671.07,48051.83,0.098
130,1,2024,302,706,22876.07,11486.74,0.149
131,3,2021,224,230,14954.08,7262.54,0.203
132,9,2024,425,471,25927.51,15564.73,0.018
133,5,2021,316,292,27514.27,13798.58,0.283
134,December,2023,373,488,34392.15,24325.81,20.8%
135,10,2022,123,184,16481.57,12202.81,0.338
136,11,2024,324,339,25179.83,19917.75,6.3%
137,10,2023,430,838,69403.84,28850.69,0.278
138,1,2021,401,482,14749.93,6301.24,0.285
139,12,2021,454,689,58940.12,31500.5,0.286
140,10,2025,669,1122,52761.74,29940.15,0.105
141,6,2022,422,533,46513.44,24672.07,0.19
142,8,2023,621,1622,107159.58,43393.42,0.329
143,5,2023,242,261,20655.52,13249.16,0.187
144,5,2025,557,1441,113438.38,47790.14,0.109
145,8,2021,519,450,27846.68,19725.35,0.307
146,Sep,2025,317,470,38181.3,15348.76,0.296
147,10,2025,387,926,27357.41,"12,522.80",0.253
148,March,2022,302,676,45541.02,30792.82,0.19
149,6,2025,327,380,33421.26,20861.35,0.14
150,11,FY2024,270,465,42287.48,17848.49,0.205
